ID;Название;Регион;Город;Адрес;Индекс;Телефон;Мобильный телефон;Email;Сайт;Рубрика;Подрубрика;Время работы;Способы оплаты;whatsapp;viber;telegram;vkontakte;odnoklassniki;youtube;Факс;rutube;yandex zen;Кол-во оценок;Рейтинг;Кол-во отзывов;Широта;Долгота
1454794720;Mini Авто-Авангард;Москва и Московская область;;Московская область, городской округ Красногорск, М-9 Балтия, 25-й километр, вл22;;+7 (495) 126-07-87;;email@mini-avangard.ru;https://www.mini-avangard.ru/?utm_campaign=MAPS_Yandex.Maps_MINI_NR&utm_medium=MAPS&utm_source=Yandex.Maps;Автомобили / Автосервис, услуги, Автомобили / Продажа;Автосалоны, Автосервисы;ежедневно, 08:00–21:00;;74950250006;;https://t.me/major_auto_official;https://vk.com/public33517731;;https://www.youtube.com/@MajorAutoRu;;;;328;4.8;83;55.791704;37.258927
92585360651;Антикор Снегири;Москва и Московская область;;Станционная ул., 1Б, дачный посёлок Снегири;;;+7 (926) 829-05-46;antikorsnegiri@mail.ru;https://antikor-snegiri.clients.site/;Автомобили / Автосервис, услуги, Услуги / Прочее;Кузовной ремонт, Нанесение покрытий;ежедневно, 10:00–20:00;скидки на услуги льготным категориям, предоплата, постоплата, наличными, оплата картой, банковским переводом, наложенным платежом, безналичная, онлайн, QR-код, СБП, оплата кредитной картой;;;;;;;;;;107;5.0;82;55.884249;37.03561
5838456195;СТО Авто Сервис;Москва и Московская область;;Пироговское ш., 2Т, д. Коргашино;;;+7 (966) 381-26-58;8c4075d5481d476e945486754f783364@sentry.io, evo1ver4@gmail.com;https://evo1ver4.wixsite.com/cto1;Автомобили / Автосервис, услуги;Автосервисы;ежедневно, 09:00–19:00;;;;;;;;;;;26;4.0;8;55.969414;37.743333
92539543167;Виллакс;Москва и Московская область;;посёлок Нагорное, 2Б;141031;+7 (495) 744-87-94;+7 (929) 530-12-55;willax@inbox.ru;http://f-motors.ru/;Автомобили / Автосервис, услуги, Производство и поставки / Машиностроение;Автосервисы, Ремонт двигателей, Ремонт турбин;пн-сб 10:00–20:00;предоплата, наличными, оплата картой, банковским переводом, безналичная, онлайн, QR-код, оформление кредита;79295301255;;https://t.me/+7-929-530-12-55;https://vk.com/willax_auto;;https://www.youtube.com/channel/UCEiO15Ln3CzfihVgNZr2dbQ;;https://rutube.ru/channel/32882515/videos;;489;5.0;241;55.924874;37.589593
75525239533;Автомойка самообслуживания;Москва и Московская область;;Московская область, городской округ Мытищи, посёлок Вешки, торгово-промышленная зона Алтуфьево;;+7 (495) 664-41-99;;info@xn----8sbzldix.xn;http://мой-сам.рф/, http://мой-сам.рф/?utm_campaign=moi_sam&utm_source=yandex_maps, https://мой-сам.рф/karta-moek/мойка-на-дмитровке;Автомобили / Автосервис, услуги;Автомойки;ежедневно, круглосуточно;;;;;;;https://www.youtube.com/%D0%BC%D0%BE%D0%B9%D1%81%D0%B0%D0%BC%D1%80%D1%84, https://www.youtube.com/мойсамрф, https://youtube.com/channel/UCn7dIyDA_dBttCCS-MrcCig;;;;1788;4.3;792;55.912443;37.589572
14386485541;Кузов Маркет;Москва и Московская область;;Ямская ул., 1, рабочий посёлок Большие Вязёмы;143050;8 (800) 775-19-64;;autocolord@yandex.ru, buzina_999@mail.ru, parasolka96@mail.ru, tokmancev.n@mail.ru;https://www.kuzov-auto.ru/;Автомобили / Автосервис, услуги, Автомобили / Запчасти, аксессуары;Автоэмали, Кузовной ремонт;;;;;;https://vk.com/kuzovmarketru;;https://www.youtube.com/channel/UCmLxySfBel1lJSR19vhWq2A;;;;8;4.0;1;55.632274;37.002191
92339922067;Профсервис;Москва и Московская область;;д. Павлищево, территория Промышленной Базы, 6;143214;;+7 (925) 279-17-03, +7 (925) 279-17-04, +7 (985) 510-49-49;info-tps.mo@yandex.ru;;Автомобили / Автосервис, услуги, Автомобили / Продажа;Автомагазины, Автосервисы, Ремонт грузовых автомобилей;ежедневно, 09:00–18:00;банковским переводом;79252791703;;https://t.me/tpsmo1;;;;;;;163;4.7;71;55.571952;36.00681
91840113537;Разборка выкуп ремонт грузовиков и полуприцепов - Разборгруз;Москва и Московская область;;;142074;;+7 (916) 324-44-71, +7 (993) 914-44-71;dmsergeew@bk.ru, inforkomtools@mail.ru;https://razborgruz.ru/;Автомобили / Автосервис, услуги, Автомобили / Запчасти, аксессуары, Производство и поставки / Машиностроение;Авторазборы, Автосервисы, Грузовая техника;ежедневно, 08:00–19:00;;79163244471, 79167720255;https://viber.click/79163244471, https://viber.click/79167720255;;https://vk.com/razborgruzru;http://ok.ru/group/54819438723093, https://ok.ru/group/53785439699082;http://youtube.com/channel/UC8l6LR-6eDSKLmKRqSFNUGQ, https://www.youtube.com/channel/UC8l6LR-6eDSKLmKRqSFNUGQ?view_as=subscriber, https://www.youtube.com/channel/UC8l6LR-6eDSKLmKRqSFNUGQ/videos, https://youtube.com/channel/UC8l6LR-6eDSKLmKRqSFNUGQ/featured?view_as=subscriber;;;;21;3.5;5;55.332309;37.717402
75064330206;Пропан-Профи;Москва и Московская область;;Советская ул., 16А, рабочий посёлок Октябрьский;;;+7 (916) 993-77-88;info@propanprofi.ru;https://propanprofi.ru/;Автомобили / Автосервис, услуги, Производство и поставки / Нефтегазовая промышленность;Автосервисы, Газовое оборудование, Установка ГБО;пн-сб 10:00–20:00;;;;;;;;;;;21;4.3;8;55.619604;37.968561
1002660028;S-Motors;Москва и Московская область;;Московская область, городской округ Коломна, деревня Губастово, посёлок Новое Губастово;;;+7 (926) 469-60-14, +7 (977) 149-45-25;shurik_2003@bk.ru;http://s-motors-msk.ru/;Автомобили / Автосервис, услуги;Автомойки, Автосервисы, Шиномонтажи;ежедневно, 09:00–19:00;наличными, банковским переводом;;;;;;;;;;314;4.9;98;55.240743;38.76465
1361923071;Фотон-Автоком;Москва и Московская область;;д. Горки, вл53Ас3;142712;;+7 (964) 784-52-88, +7 (994) 502-82-55;info@foton-1.ru;https://foton-1.ru/;Автомобили / Автосервис, услуги;Автосервисы, Пункты техосмотра, Ремонт грузовых автомобилей;"пн-пт 09:00–20:00; сб,вс 09:00–18:00";банковским переводом, наличными, оплата картой;79169166632;;;;;;;;;82;4.4;37;55.503766;37.752731
91508362862;STO-Turbina;Москва и Московская область;;ул. Карельский Тупик, 89, ТЛПХ Дружба, д. Картино;;;+7 (929) 564-50-90, +7 (963) 996-80-20;sto-turbina@mail.ru;https://sto-turbina.ru/?utm_source=yandex_maps;Автомобили / Автосервис, услуги, Производство и поставки / Машиностроение;Автосервисы, Ремонт двигателей, Ремонт турбин;ежедневно, 10:00–20:00;наличными;79295645090;;;https://vk.com/club121143499;;https://www.youtube.com/channel/UCjq5fQUAKAxP9CnnV0RLP1A;;;;135;5.0;83;55.585459;37.810971
